File_Name,Backbone,Num_ZIDs,Avg.BB_PCScore
STB_NS_01034,C12(C=CC(CC1)C3(C(=O)NC(=O)C23)),313,0.9755
STB_NS_01037,O=C(c1ccc(cc1)c2ccccc2)n4nnc3ccccc34,160,0.7611275000000001
STB_NS_03986,c1ccc2ccc(nc2(c1))N4CCN(C(=O)c3cnccc3)CC4,108,0.7474416666666666
